feature,importance,importance_std
V14,0.09089270740415019,0.01253593647706004
V12,0.029501064314964354,0.008405789553908105
V22,0.022670546545373926,0.0049719107046587415
V18,0.021310136404475988,0.006010928123882163
V2,0.016646941306498263,0.007859318848640773
V7,0.012263790402358565,0.010049680335107565
V16,0.011251318410875389,0.009285714285714312
V24,0.010633277056637701,0.004455641070834107
V10,0.010114874717082323,0.010558234218302905
V17,0.009769836929393882,0.0032883782532000254
V11,0.00975890985324943,0.008918311216709463
Time,0.008589495683425107,0.005951323995578401
Amount,0.0077201257861634785,0.003966940935639457
V15,0.004878779678758249,0.005357369934743945
V27,0.003969216212145854,0.003636095762540741
V9,0.0023178747584399416,0.0064128328342709815
V13,0.0019620370647108754,0.0034892222377894255
V20,0.001792452830188651,0.002195297410984889
V21,0.0008848817769285588,0.0033715913446866873
V3,0.0001241508507126232,0.00513312244677578
V1,-2.2689276331533392e-05,0.004033429711179327
V6,-3.382252372399197e-05,0.00490929786062236
V5,-0.00085837409736782,0.0035802469135802545
V25,-0.0018151421065201844,0.0022230859858075216
V23,-0.0025226892763315243,0.0043300633339488515
V26,-0.003641845627731577,0.0034143874066894088
V28,-0.004549416680991669,0.0028883065774740297
V19,-0.006837771099518597,0.008089053154186723
V4,-0.007529360436951871,0.008292001221909874
V8,-0.007988633303872028,0.004935818053222241
